#,Tier,Business,Category,City,Address,Phone,Web presence found,Revenue / legitimacy signals,Pitch angle,Confidence,Sources
11,A - No website found,Kissimmee Bakery and Restaurant,"Restaurant / bakery (Salvadoran, Puerto Rican)",Kissimmee,"1111 E Vine St, Kissimmee, FL 34744",See Yelp/Tripadvisor listing (not captured),"Facebook only; menu lives on scraper sites (zmenu, restaurants-world)",Described as 'long-standing' local institution; Tripadvisor listed,Their menu is only online because scrapers copied it; own the menu page,Likely,tripadvisor.com/Restaurant_Review-g34352-d1100445; facebook.com/p/Kissimmee-Bakery-and-Restaurant-100078983963228
12,A - No website found,Lechonera El Jibarito,Restaurant (Puerto Rican),Kissimmee,"1985 S John Young Pkwy, Kissimmee, FL 34741",(407) 935-0035,"Facebook, DoorDash, Grubhub; no dedicated site",Est. 2013; 106 Yelp reviews; 'first lechonera in Florida cooking a la varita',Unique story with no page telling it; catering inquiries have nowhere to land,Likely,yelp.com/biz/la-lechonera-el-jibarito-kissimmee; facebook.com/lechoneraeljibarito
13,A - No website found,Taqueria Las Cazuelas,Restaurant (Mexican),Orlando (East Colonial),"10360 E Colonial Dr Unit 118, Orlando, FL 32817",(407) 930-7632,"Facebook, Instagram, DoorDash; Scott Joseph review states no website and no published menu",182 Yelp reviews; reviewed by Scott Joseph (Orlando's main food critic),Critic-reviewed taqueria with no menu online: a one-page menu site is an obvious win,Certain,scottjosephorlando.com/taqueria-las-cazuelas; yelp.com/biz/taqueria-las-cazuelas-orlando
14,A - No website found,Big Boi Meat Market,Butcher / Brazilian market,Orlando (+ Davenport),"4734 S Kirkman Rd, Orlando, FL",See Facebook/Instagram (not captured),Facebook + Instagram (@bigboiusa); no site,"Two locations (Orlando and Davenport); premium cuts (picanha, wagyu); active Sunbiz corp",Two-store retailer with no site; online ordering for Brazilian community is a clear product,Likely,facebook.com/bigboiorlando; yelp.com/biz/big-boi-meat-market-davenport
15,A - No website found,Green Machine Lawn Care,Landscaping,Kissimmee,"4499 S Orange Blossom Trl, Kissimmee, FL 34746",(407) 414-2660,Facebook + Yelp + BBB; no domain surfaced (greenmachinelawncare.com belongs to a PA company),Family owned since 1973; residential + commercial,50-year-old company whose name is taken by a Pennsylvania firm's domain; needs its own,Likely,yelp.com/biz/green-machine-lawn-care-kissimmee; facebook.com/greenmachinelawnosceloa
16,A - No website found,"FC Lawn Service & Landscaping, Inc.",Landscaping / irrigation,Orlando,"Orlando, FL (address via BBB)",(407) 230-3110,"Facebook, Yelp, BBB, Nextdoor; owns fclawnservice.com for email but no site surfaced",Since 2006; commercial + residential; separate irrigation division,"Domain already owned, nothing on it; commercial clients expect a site before signing",Likely,bbb.org/us/fl/orlando/profile/landscape-contractors/fc-lawn-service-inc-0733-90407290; facebook.com/fclawnservicesflorida
17,A - No website found,Kincaid's Tree Service LLC,Tree service,Orlando,"18501 Madison Ave, Orlando, FL",See Yelp/Facebook (not captured),Facebook + Yelp; no site,"20+ yrs; licensed and insured; trimming, removal, stump grinding",Hurricane-season demand; every competitor in search has a site,Likely,facebook.com/kincaidtreeservice; yelp.com/biz/kincaids-tree-service-orlando
18,A - No website found,"A.C.R.H. Services, Inc.",HVAC,Kissimmee,"3275 S John Young Pkwy Ste 544, Kissimmee, FL",See BBB/Nextdoor (not captured),"Facebook, Nextdoor, BBB, Patch; no site","Family owned; 40+ yrs; installs, repairs, duct cleaning",40-year HVAC firm invisible in search; HVAC leads are among the most valuable local clicks,Likely,bbb.org/us/fl/kissimmee/profile/heating-and-air-conditioning/acrh-services-inc-0733-193609943; facebook.com/acrhservices
19,A - No website found,Bethany Learning Academy / Daycare Inc.,Preschool / daycare,Orlando,"6229 Winegard Rd, Orlando, FL 32809",(407) 930-7130,Facebook only; directory listings,"Licensed capacity 150; ranked top 20% FL private schools; PreK-5; VPK, transport",150-seat school with no enrollment page; parents research online first,Likely,privateschoolreview.com/bethany-learning-academy-profile; facebook.com/blaolando
20,A - No website found,Kids All The Time Learning Center,Daycare,Orlando,"4123 Columbia St, Orlando, FL 32811",See Facebook (not captured),Facebook only; childcare directories,Licensed for 47 children; infant through age 13; accepts subsidies; uses ProCare app,Already tech-forward (ProCare) but no public site to drive enrollment,Likely,facebook.com/kidsallthetime; winnie.com/place/kids-all-the-time-learning-center-orlando
21,A - No website found,Faithful Friend Mobile Grooming,Mobile pet grooming,Kissimmee / Orlando,"3001 Laurel Park Ln, Kissimmee, FL 34741",(321) 900-3186,Facebook + BBB + Yelp; no site,30+ yrs experience; 19 Yelp reviews with 141 photos,Reviews complain about hard-to-reach scheduling; an online booking page fixes their #1 complaint,Likely,yelp.com/biz/faithful-friend-mobile-pet-grooming-kissimmee-2; bbb.org/us/fl/kissimmee/profile/mobile-pet-grooming/faithful-friend-mobile-grooming-0733-90722128
22,A - No website found,Patio Screen Enclosure LLC,Screen enclosures,Orlando,"Orlando, FL",(929) 413-7755,Facebook only (gmail contact),100% FB recommend on 6 reviews; custom lanai enclosures,Smaller operator; lowest revenue confidence on this list,Guessing,facebook.com/PatioScreenEnclosure
23,A - No website found,"Kissimmee Auto Body Shop, Inc.",Auto body,Kissimmee,"2717 Old Dixie Hwy Ste B, Kissimmee, FL 34744",(407) 413-7234,"Facebook, Yelp, BBB; no site",Full collision shop; mixed reviews (5 on FB),Collision shops need insurance-referral credibility; a site is table stakes,Guessing,yelp.com/biz/kissimmee-auto-body-shop-kissimmee; bbb.org/us/fl/kissimmee/profile/auto-body-repair-and-painting/kissimmee-auto-body-shop-llc-0733-235978515
24,B - Free builder subdomain,"Ray's Roofing of Central Florida, Inc.",Roofing,Auburndale (Polk Co.),"807 Braddock Rd, Auburndale, FL 33823",(863) 967-3170,raysroofing.wixsite.com/roofing (free Wix subdomain),Since 1975; state cert. CCC13255843; Angi 5.0; BBB profile,50-year licensed roofer on a free Wix subdomain; no custom domain at all,Certain,raysroofing.wixsite.com/roofing; myfloridalicense.com (CCC13255843); bbb.org/us/fl/auburndale/profile/roofing-contractors/rays-roofing-of-central-florida-inc-0733-154408820
25,B - Free builder subdomain,"Roof Commander, Inc.",Roofing (res + commercial),Orlando / Tavares,"121 S Orange Ave #1502, Orlando, FL 32801 (also 4680 Lake Industrial Blvd, Tavares)",(407) 956-4267,orlandoroofingcontractorsweb.weebly.com (free Weebly subdomain),Certified roofing license + 8 others; 26 Birdeye reviews at 4.3; two offices,Two-office commercial roofer running on Weebly; commercial buyers notice,Certain,orlandoroofingcontractorsweb.weebly.com; reviews.birdeye.com/roof-commander-orlando-147153459850500; buildzoom.com/contractor/roof-commander-inc
26,B - Free builder subdomain,"Pugh's Outdoors, Inc.",Tree service / landscaping / grading,Orlando,"2974 Afton Cir, Orlando, FL",See BBB (not captured),pughsoutdoors.wixsite.com/pughsoutdoorsinc (free Wix subdomain),"BBB accredited Feb 2025; tree, bobcat, grading, fencing, irrigation, equipment rental",Broad service mix (rentals + grading) that a real site could sell separately,Certain,pughsoutdoors.wixsite.com/pughsoutdoorsinc; bbb.org/us/fl/orlando/profile/lawn-maintenance/pughs-outdoors-inc-0733-90319109
27,B - Free builder subdomain,Zikos Auto Body,Auto body,Orlando,"6214 All American Blvd, Orlando, FL 32810",(407) 579-2629,zikosautobody.wixsite.com/zikosautobody (free Wix subdomain),13 reviews at 4.3; works with most insurers; Bizapedia-registered,Insurer-facing body shop on a free subdomain,Certain,zikosautobody.wixsite.com/zikosautobody; reviews.birdeye.com/zikos-auto-body-171162773249604
28,B - Free builder subdomain,Hicks & Hicks Lawn and Services,Landscaping,Orlando / Lake Mary / Apopka,"Orlando, FL",(407) 921-3451,hhlawnservices.wixsite.com/home (free Wix subdomain),Est. 2002; residential + commercial design/build/maintain; 10-city service area,20-year company; wide service area with no local landing pages,Certain,hhlawnservices.wixsite.com/home; yelp.com/biz/hicks-and-hicks-lawn-and-services-orlando
29,B - Free builder subdomain,"Metro Orlando Judo Kai, Inc.",Martial arts school,Orlando,"3843 E Colonial Dr, Orlando, FL 32803",(407) 928-3643,judokaiorlando.wixsite.com/metroorlandojudokai (free Wix subdomain),Since 2005; USA Judo chartered club; 5.0 on 5 reviews,Membership business; class schedule + signup form is the whole pitch,Certain,judokaiorlando.wixsite.com/metroorlandojudokai; fightencyclopedia.com/gyms/us/fl/orlando/orlando-metro-orlando-judo-kai
30,B - Free builder subdomain,Bug Daddy Enterprises LLC,Pest control,Orlando / Brevard,"3213 New Mexico Ct, Orlando, FL",(407) 753-1035,pbsante.wixsite.com/thebugdaddy (free Wix subdomain),10+ yrs; family owned; monthly/quarterly/annual plans; Yelp 5.0 on 6,Recurring-revenue business (plans) on a free subdomain,Certain,pbsante.wixsite.com/thebugdaddy; m.yelp.com/biz/bug-daddy-enterprises-llc-orlando-2
31,B - Free builder subdomain,Affordable Painting & Handyman Services,Painting / handyman,Orlando,"7708 Bear Claw Rd, Orlando, FL 32825",(407) 595-3530,affordablepaintingandhandyserv.godaddysites.com (free GoDaddy subdomain),23 yrs in business per BBB; residential + light commercial,"Two decades old, unclaimed Yelp listings, GoDaddy freebie site",Certain,affordablepaintingandhandyserv.godaddysites.com; bbb.org/us/fl/orlando/profile/home-improvement/affordable-painting-handyman-services-0733-120649197
32,B - Free builder subdomain,Integrity Reconstruction and Roofing,Roofing / restoration,Orlando,"37 N Orange Ave Ste 510, Orlando, FL 32801",(407) 988-6323,adolfo885.wixsite.com/website (free Wix subdomain),Licensed GC + roofing; Houzz profile; BBB profile (1 unresolved complaint),Downtown office address but a wixsite.com URL; reputation repair angle too,Certain,adolfo885.wixsite.com/website; houzz.com/professionals/kitchen-and-bath-remodelers/integrity-reconstruction-and-roofing-pfvwus-pf~633569365
33,B - Free builder subdomain,The Gutter Specialists,Gutters / shutters / enclosures,Kissimmee,"1708 Orange Ln, Kissimmee, FL 34746",(407) 346-8308,the-gutter-specialists.business.site (Google's discontinued free builder) plus thegutterspecialists.com surfaced,Since 2001; 21 yrs; Angi 5.0; BBB profile,business.site pages are dead-ended by Google; verify whether the .com is live,Likely,bbb.org/us/fl/kissimmee/profile/gutters/the-gutter-specialists-0733-182356484; angi.com/companylist/us/fl/kissimmee/the-gutter-specialists-reviews-258117.htm
34,"C - Own domain, weak-site signals (unverified)",GlamLab Medical Aesthetics LLC,Med spa,Orlando (Waterford Lakes),"801 Woodbury Rd Ste 101, Orlando, FL 32828",(407) 602-5533,glamlabmed.com; page title 'HOME | glamlabmed' = untouched Wix default,"4.9 on 236+ reviews; ARNP medical director, 20 yrs; Botox, fillers, weight loss",High-ticket med spa with a default-titled Wix site; SEO title alone is costing them,Likely,glamlabmed.com; yelp.com/biz/glam-lab-orlando; medicalspalocator.com/med-spa/glam-lab-medical-aesthetics-orlando-fl
35,"C - Own domain, weak-site signals (unverified)","Westcoast Mechanical Contractors, LLC",HVAC / mechanical (commercial),Sanford,"174 Specialty Point, Sanford, FL 32771",(727) 222-3885,westcoastmech.com; page title 'HOME | Westcoastmechanical' = Wix default,BuildZoom top 7% of FL contractors; commercial + residential; Procore listed,Commercial mechanical contractor bidding jobs with a default Wix template,Likely,westcoastmech.com; buildzoom.com/contractor/westcoast-mechanical-contractors
36,"C - Own domain, weak-site signals (unverified)",Gonzalez & Sons Auto Repair,Auto repair / tires,Kissimmee,"10 W Fletcher St, Kissimmee, FL 34741",(407) 288-4813,"gonzalezandsonsautorepair.com; title 'Welcome to gonzalez and sons auto repair' (lowercase, template)",43 Yelp reviews; 60 SureCritic reviews at 4.1; 12-month warranty,Site reads as a builder default; mixed reviews argue for a trust-building rebuild,Guessing,gonzalezandsonsautorepair.com; yelp.com/biz/gonzalez-and-sons-auto-repair-kissimmee-9
37,"C - Own domain, weak-site signals (unverified)",Numero Uno Cuban Restaurant,Restaurant (Cuban),Orlando (SoDo),"2499 S Orange Ave, Orlando, FL 32806",(407) 841-3840,Stale numerounorestaurant.wixsite.com still indexed alongside numerounorestaurant.com (programmatic 'best Cuban food near X' pages),Since 1978; 217 Yelp reviews; catering via ezCater; Scott Joseph reviewed,"Two competing sites, one a dead Wix page; consolidate and fix brand search",Likely,numerounorestaurant.wixsite.com/numerounorestaurant; numerounorestaurant.com; yelp.com/biz/numero-uno-restaurant-orlando
38,"C - Own domain, weak-site signals (unverified)",Adcock Roofing,Roofing,Sanford,"800 S French Ave, Sanford, FL 32771",(407) 322-9558,adcockroofing1.com (the '1' suffix suggests a lost or rebuilt domain),Family owned since 1963; 4th generation; BBB A+ accredited 2016,60-year brand on a suffix domain; verify site before pitching,Guessing,adcockroofing1.com; bbb.org/us/fl/sanford/profile/roofing-contractors/adcock-roofing-0733-100356
39,"C - Own domain, weak-site signals (unverified)","Oviedo Roofing, Inc.",Roofing,Oviedo / Winter Springs,"Oviedo, FL",(407) 252-0230,oviedoroofinginc.com; contact is a gmail address; 0 Facebook reviews,State licensed; family owned since 1990; roof-to-drywall repairs,35-year roofer with zero social proof online; confusable with OCR Roofing and Oviedo Roofing Co.,Guessing,facebook.com/OviedoRoofingRepair; bbb.org/us/fl/eustis/profile/roofing-contractors/oviedo-roofing-inc-0733-90185471
40,"C - Own domain, weak-site signals (unverified)","Grant's Tree Service, Inc.",Tree service / land clearing,Orlando,"6355 N Orange Blossom Trl, Orlando, FL 32810",(407) 629-0966,"grantstreeservice.com; contact is a gmail address; two look-alike domains exist (grantstreeservices.com, ssgrantstreesolution.com)",45+ yrs; 24/7; 16 Yelp reviews; 13 Birdeye,Brand confusion with copycat domains; needs a defensible site,Guessing,grantstreeservice.com; yelp.com/biz/grants-tree-service-orlando-4
41,"C - Own domain, weak-site signals (unverified)",Seafood House Kissimmee,Restaurant (Cajun seafood),Kissimmee,"3415 W Vine St, Kissimmee, FL 34741",(407) 201-3186,seafoodhousefl.com plus a kwickmenu.com ordering page; gmail contact,"200+ seats, 5,000 sq ft; 84 Yelp reviews; event space",Large-format restaurant with a template site and 3.7 Tripadvisor rating; events page is the upsell,Guessing,seafoodhousefl.com; yelp.com/biz/seafood-house-kissimmee-kissimmee
42,"C - Own domain, weak-site signals (unverified)",Melao Bakery,Bakery / restaurant (Puerto Rican),Kissimmee (+ Orlando),"1912 Fortune Rd, Kissimmee, FL 34744",(407) 348-1777,melaobakery.com (contact page is 'Contacto'; likely Spanish-only template),371 Yelp reviews; two locations; BBB profile; Experience Kissimmee listed,Two-location bakery; bilingual rebuild + online ordering,Guessing,melaobakery.com; yelp.com/biz/melao-bakery-kissimmee-kissimmee-2
43,"C - Own domain, weak-site signals (unverified)","Kissimmee Produce, Inc.",Supermarket (Mexican),Kissimmee,"1421 N John Young Pkwy, Kissimmee, FL 34741",(407) 935-9888,kissimmeeproduce.net,"4.9 on ~4,946 reviews; open 8am-9pm daily; BBB profile",Highest review volume on this list; a .net template site is under-serving that traffic,Guessing,kissimmeeproduce.net; yelp.com/biz/kissimmee-produce-kissimmee-2
44,"C - Own domain, weak-site signals (unverified)","Central Florida Auto Repair, Inc.",Auto repair,Apopka,"1779 S Orange Blossom Trl, Apopka, FL 32703",(407) 880-8221,centralfloridaautorepair.net,"Since 1991; 1,031 SureCritic reviews at 4.9; Master Tech owner","1,000+ reviews on a .net; check mobile UX and booking before pitching",Guessing,centralfloridaautorepair.net; surecritic.com/reviews/central-florida-auto-repair
45,"C - Own domain, weak-site signals (unverified)",La Lechonera El Barrio,Restaurant (Puerto Rican cafeteria),Orlando,"435 N Semoran Blvd, Orlando, FL 32807",(407) 305-4496,lalechoneraelbarriofl.com; ordering via order.online / DoorDash,154 Yelp reviews; open 7 days 7am-8pm; Saboscrivner reviewed,Volume cafeteria on delivery apps; own the ordering funnel,Guessing,lalechoneraelbarriofl.com; yelp.com/biz/la-lechonera-el-barrio-orlando
46,"C - Own domain, weak-site signals (unverified)",Orlando City Plumbing LLC,Plumbing,Lockhart / Orlando,"821 Malone Dr, Lockhart, FL 32810",(407) 790-6795,orlandocityplumbing.com (Wix) and a leftover bephore.wixsite.com page,License CFC1430246 (active); BBB profile; 20 Yelp photos,Licensed plumber; two Wix pages competing for the brand name,Likely,orlandocityplumbing.com; bephore.wixsite.com/orlandocityplumbing; buildzoom.com/contractor/orlando-city-plumbing-llc-cfc1430246
47,"C - Own domain, weak-site signals (unverified)",M&D Service Solutions FL,Handyman / plumbing,Kissimmee / Central FL,Central Florida (mobile),(321) 444-8335,mdservicesolutions.com (Wix) plus mdservicesolutions.wixsite.com,Since 2017; 11-city service area; testimonials on site,Duplicate Wix presence; service-area pages are the upsell,Likely,mdservicesolutions.com; mdservicesolutions.wixsite.com/home
48,"C - Own domain, weak-site signals (unverified)",Loyalty Towing LLC,Towing,Orlando (East),"Orlando, FL 32820",(407) 446-5517,loyaltytowingllc.com (page title is just the domain) plus loyaltytowing407.wixsite.com,24/7; flatbed; Yelp listing with 20 photos; YP listing,"Bare domain plus a Wix leftover; towing is a call-now business, needs click-to-call",Likely,loyaltytowingllc.com; loyaltytowing407.wixsite.com/loyalty; yelp.com/biz/loyalty-towing-orlando
49,"C - Own domain, weak-site signals (unverified)","Reliable Pool Enclosures & Screens, LLC",Screen enclosures,Orlando,"5558 Force Four Pkwy, Orlando, FL 32839",(407) 731-3408,rpesfl.com,"15+ yrs; BBB, Angi, HomeAdvisor listings; 84% FB recommend on 21",Mixed workmanship reviews; a gallery-heavy site would rebuild trust,Guessing,rpesfl.com; bbb.org/us/fl/orlando/profile/screen-repair/reliable-pool-enclosures-screens-llc-0733-90315667
50,"C - Own domain, weak-site signals (unverified)","Above The Rest Garage Doors, Inc.",Garage doors,Kissimmee,"2684 Reagan Ln, Kissimmee, FL 34744",(407) 518-9494,abovetherestdoors.com,10+ yrs; BuildZoom top 2% of FL contractors; YP 5 stars,Top-2% contractor; verify whether the site matches that standing,Guessing,abovetherestdoors.com; buildzoom.com/contractor/above-the-rest-garage-doors-inc
51,A - No website found,Orlando Children's Academy,Preschool,Orlando,"1555 Americana Blvd, Orlando, FL",Not captured,Facebook only (369 likes),Licensed preschool; Yelp + directory listings,Enrollment page,Guessing,facebook.com/orlandochildrensacademy1
52,A - No website found,Sanford Auto Repair,Auto repair,Sanford,"101 S French Ave, Sanford, FL 32771",(321) 363-3528,Facebook + BBB,Only 3 Google reviews; European/antique specialist,Low revenue confidence,Guessing,facebook.com/SanfordAutoRepair101
53,B - Free builder subdomain,Daleys Mobile Auto Repair,Mobile auto repair,Orlando,"Orlando, FL",Not captured,cleond76.wixsite.com/daleysautorepairs,Since 2010; no reviews found,Low revenue confidence,Guessing,cleond76.wixsite.com/daleysautorepairs
54,"C - Own domain, weak-site signals (unverified)","Orlando Metal Fabrication, Inc.",Metal fabrication,Orlando,"11516 Satellite Blvd, Orlando, FL 32837",(407) 850-4313,orlandometalfab.net,15+ yrs; government + private sector,Verify site,Guessing,orlandometalfab.net
55,"C - Own domain, weak-site signals (unverified)","Badger Welding of Orlando, LLC",Welding / fabrication,Orlando,"6145 Cyril Ave, Orlando, FL 32809",(407) 648-1100,badgerweldingllc.net,Certified welders; YP 5 stars,Verify site,Guessing,badgerweldingllc.net
56,"C - Own domain, weak-site signals (unverified)",Cabinets & Granite,Cabinets / countertops,Kissimmee,"Kissimmee, FL",Not captured,cabinetsandgranite.org,Since 2001; ranked #1 Kissimmee countertop contractor (CountertopsContractors),Verify site,Guessing,cabinetsandgranite.org; facebook.com/cabinetsandgranitegrg
57,"C - Own domain, weak-site signals (unverified)",The Original Granite & Cabinets,Cabinets / countertops,Kissimmee,"2896 Tampa Ave, Kissimmee, FL 34744",(407) 944-0925,originalgranites.com,11 yrs; BBB profile; mixed reviews,Verify site,Guessing,originalgranites.com
58,"C - Own domain, weak-site signals (unverified)","Brite Electric Air Conditioning & Heating, Inc.",Electrical / HVAC,Apopka,"2036 Sprint Blvd Ste 11, Apopka, FL 32703",(407) 884-0844,britehvacelectric.com,Since 1979; BBB A+; Trane dealer,Verify site (competitor-adjacent to Contigo Electric),Guessing,britehvacelectric.com
59,"C - Own domain, weak-site signals (unverified)",Rico Pan Bakery and Cafe,Bakery (Colombian),Kissimmee / Poinciana,"1003 W Vine St, Kissimmee, FL 34741",(407) 943-8738,ricopanbakeryandcafekissimmee.com (vendor-style long domain); gmail contact,Two locations; 36 Yelp reviews; on 3 delivery apps,Verify site,Guessing,ricopanbakeryandcafekissimmee.com
60,"C - Own domain, weak-site signals (unverified)",Metro Auto Sales Orlando,Used car dealer,Orlando,"675 Barry St, Orlando, FL 32808",(407) 338-2942,metroautosalesorlando.com,BBB profile; family owned,Verify inventory tooling,Guessing,metroautosalesorlando.com
61,"C - Own domain, weak-site signals (unverified)",First Response Auto Repair & Service LLC,Auto repair,Altamonte Springs,"1203 E Altamonte Dr, Altamonte Springs, FL 32701",(321) 444-6226,frarepairandservice.com plus a square.site booking page,20+ yrs; 5.0 on 12 CARFAX reviews,Verify site,Guessing,frarepairandservice.com
62,"C - Own domain, weak-site signals (unverified)",Primos Tires & Auto Repair,Tires / auto repair,Altamonte Springs,"1440 E Altamonte Dr, Altamonte Springs, FL 32701",(386) 414-1971,primosautorepair.com,131 Birdeye reviews at 4.7; open 7 days,Verify site,Guessing,primosautorepair.com
